user_id,first_name,last_name,gender,dob,create_date
U-101,alice,Smith,F,14/05/1985,15/01/2025
U-102,Bob,JONES,Male,1978-11-22,02-02-2025
U-103,charlie,brown,m,03/09/1990,2025/03/12
U-104,Diana,Prince,Female,12-12-1982,10-04-2025
U-105,edward,stark,M,05/06/1975,18/05/2025
U-106,Fiona,GALLAGHER,f,19/08/1993,30-05-2025
U-107,george,clark,Male,25/01/1988,2025/06/14
U-108,Hannah,Abbott,Female,30-10-1995,05/07/2025
U-109,ian,malcolm,m,1980-04-12,22/08/2025
U-110,Julia,ROBERTS,F,08/11/1972,10/09/2025
U-111,Kevin,Bacon,Male,08/07/1968,03-10-2025
U-112,linda,hamilton,f,26/09/1984,15/10/2025
U-113,Nancy,Drew,Female,18-03-1991,2025/11/04
U-114,oliver,queen,M,01/01/1986,20/11/2025
U-115,Peter,PARKER,Male,10/08/2000,05-12-2025
U-116,rachel,green,f,05/05/1989,18/12/2025
U-117,Steve,Rogers,Male,04-07-1920,10/01/2026
U-118,tony,stark,m,29/05/1970,22/01/2026
U-119,Uma,THURMAN,Female,29/04/1974,14/02/2026
